Timestamp,ActiveRequests,EventLoopLag_ms,PoolSize
2026-02-05T18:26:47.397Z,10,189.99,0
2026-02-05T18:26:47.593Z,25,NaN,0
2026-02-05T18:26:47.644Z,9,20.34,0
2026-02-05T18:26:47.694Z,9,20.23,0
2026-02-05T18:26:47.745Z,7,19.77,0
2026-02-05T18:26:47.794Z,7,20.52,0
2026-02-05T18:26:47.845Z,8,20.46,0
2026-02-05T18:26:47.894Z,8,20.23,0
2026-02-05T18:26:47.944Z,8,20.50,0
2026-02-05T18:26:47.995Z,8,20.40,0
2026-02-05T18:26:48.046Z,8,20.24,0
2026-02-05T18:26:48.096Z,8,20.41,0
2026-02-05T18:26:48.147Z,8,19.67,0
2026-02-05T18:26:48.197Z,8,20.39,0
2026-02-05T18:26:48.293Z,8,NaN,0
2026-02-05T18:26:48.343Z,6,20.37,0
2026-02-05T18:26:48.394Z,6,20.36,0
2026-02-05T18:26:48.444Z,6,20.29,0
2026-02-05T18:26:48.494Z,5,20.36,0
2026-02-05T18:26:48.544Z,5,20.59,0
2026-02-05T18:26:48.595Z,5,20.26,0
2026-02-05T18:26:48.702Z,11,NaN,0
2026-02-05T18:26:48.890Z,9,187.76,0
2026-02-05T18:26:49.201Z,11,NaN,0
2026-02-05T18:26:49.391Z,7,NaN,0
2026-02-05T18:26:49.583Z,13,NaN,0
2026-02-05T18:26:49.633Z,3,20.25,0
2026-02-05T18:26:49.683Z,3,20.34,0
2026-02-05T18:26:49.733Z,3,21.18,0
2026-02-05T18:26:49.783Z,3,20.28,0
2026-02-05T18:26:49.833Z,2,20.42,0
2026-02-05T18:26:49.884Z,2,20.21,0
2026-02-05T18:26:49.992Z,3,100.83,0
2026-02-05T18:26:50.041Z,2,20.32,0
2026-02-05T18:26:50.091Z,2,20.49,0
2026-02-05T18:26:50.141Z,2,20.47,0
2026-02-05T18:26:50.191Z,2,20.47,0
2026-02-05T18:26:50.241Z,2,20.36,0
2026-02-05T18:26:50.291Z,2,20.28,0
2026-02-05T18:26:50.342Z,2,20.37,0
2026-02-05T18:26:50.393Z,2,20.37,0
2026-02-05T18:26:50.443Z,2,20.24,0
2026-02-05T18:26:50.494Z,2,20.26,0
2026-02-05T18:26:50.543Z,2,20.19,0
